Answer,Article File,Article Title,Difficulty From Answerer,Difficulty From Questioner,Question
Yes,S08_set3_a4,Abraham_Lincoln,easy,easy,Was Lincoln chosen as a presidential candidate in 1860?
,S08_set3_a4,Abraham_Lincoln,,medium,How old was Lincoln in 1816?
seven,S08_set3_a4,Abraham_Lincoln,medium,medium,How old was Lincoln in 1816?
,S08_set3_a4,Abraham_Lincoln,,medium,When was the first photgraph of lincoln taken?
1846,S08_set3_a4,Abraham_Lincoln,medium,medium,When was the first photgraph of lincoln taken?
,S08_set3_a4,Abraham_Lincoln,,medium,How long was Lincoln's legal Career?
23 years,S08_set3_a4,Abraham_Lincoln,medium,medium,How long was Lincoln's legal Career?
,S08_set3_a4,Abraham_Lincoln,,hard,What trail did Lincoln use a Farmers' Almanac in?
"he defended William ""Duff"" Armstrong",S08_set3_a4,Abraham_Lincoln,hard,hard,What trail did Lincoln use a Farmers' Almanac in?
,S08_set3_a4,Abraham_Lincoln,,hard,Did Abraham Lincoln live in the Frontier?
Yes,S08_set3_a4,Abraham_Lincoln,medium,hard,Did Abraham Lincoln live in the Frontier?
,S08_set3_a4,Abraham_Lincoln,,hard,Did Lincoln's Wife's Family support slavery?
Yes,S08_set3_a4,Abraham_Lincoln,medium,hard,Did Lincoln's Wife's Family support slavery?
,S08_set4_a10,Alessandro_Volta,,,Volta became professor of physics in the Como high school in what year?
,S08_set4_a10,Alessandro_Volta,,,What ac phaenomenis inde pendentibus?
,S08_set4_a10,Alessandro_Volta,,,What may be called Volta's Law of the electrochemical series?
,S08_set4_a10,Alessandro_Volta,,,Is it true that volta became professor of physics?
,S08_set4_a10,Alessandro_Volta,,,Is it true that volta entered retirement in spain?
,S08_set4_a10,Alessandro_Volta,,,When did he become professor?
,S08_set4_a10,Alessandro_Volta,,,What did Alessandro Volta publish in 1800?
,S08_set4_a10,Alessandro_Volta,,,Is Volta buried in the city of Como?
,S08_set4_a10,Alessandro_Volta,,,Is the electrolyte sulphuric acid?
,S08_set4_a10,Alessandro_Volta,,,
,S08_set4_a10,Alessandro_Volta,,,
,S08_set4_a10,Alessandro_Volta,,,
,S08_set4_a10,Alessandro_Volta,,,NOTTTT  FOUND
,S08_set4_a10,Alessandro_Volta,,,
,S08_set4_a10,Alessandro_Volta,,,
,S08_set4_a10,Alessandro_Volta,,,Are Count Volta 's original instruments and papers on display there ?
,S08_set4_a10,Alessandro_Volta,,,Is Volta buried in the city of Como ?
,S08_set4_a10,Alessandro_Volta,,,Was his 1800 paper written in French ?
,S08_set4_a10,Alessandro_Volta,,,Are Count Volta 's original instruments and papers on display there ?
,S08_set4_a10,Alessandro_Volta,,,Did he not realize that the frog 's leg served as both a conductor of electricity -LRB- we would now call it an electrolyte -RRB- and as a detector of electricity ?
,S08_set4_a10,Alessandro_Volta,,,Does this not make the zinc rod the negative electrode and the copper rod the positive electrode ?
,S08_set4_a10,Alessandro_Volta,,,What happened with $ its invention?
,S08_set4_a10,Alessandro_Volta,,,HWhat happened at the electromotive force -LRB- emf -RRB- of a galvanic cell?
,S08_set4_a10,Alessandro_Volta,,,What happened in 1800?
,S08_set4_a8,Amedeo_Avogadro,,,What was an Italian savant?
,S08_set4_a8,Amedeo_Avogadro,,,What was an Italian savant?
Amedeo Avogadro,S08_set4_a8,Amedeo_Avogadro,medium,,Who is most noted for his contributions to the theory of molarity and molecular weight?
,S08_set4_a8,Amedeo_Avogadro,,,Who is most noted for his contributions to the theory of molarity and molecular weight?
,S08_set4_a8,Amedeo_Avogadro,,,Who is most noted for his contributions to the theory of molarity and molecular weight?
Amedeo Avogadro,S08_set4_a8,Amedeo_Avogadro,medium,,Who graduated in ecclesiastical law at the early age of 20 and began to practice?
blah,S08_set4_a8,Amedeo_Avogadro,easy,,Who graduated in ecclesiastical law at the early age of 20 and began to practice?
,S08_set4_a8,Amedeo_Avogadro,,,Who graduated in ecclesiastical law at the early age of 20 and began to practice?
1821,S08_set4_a8,Amedeo_Avogadro,medium,,When did he publish another memoria?
,S08_set4_a8,Amedeo_Avogadro,,,When did he publish another memoria?
,S08_set4_a8,Amedeo_Avogadro,,,When did he publish another memoria?
1820,S08_set4_a8,Amedeo_Avogadro,medium,,When did he become a professor?
,S08_set4_a8,Amedeo_Avogadro,,,When did he become a professor?
,S08_set4_a8,Amedeo_Avogadro,,,When did he become a professor?
yes,S08_set4_a8,Amedeo_Avogadro,easy,,Is it true that he became a professor in 1820?
,S08_set4_a8,Amedeo_Avogadro,,,Is it true that he became a professor in 1820?
,S08_set4_a8,Amedeo_Avogadro,,,Is it true that he became a professor in 1820?
yes,S08_set4_a8,Amedeo_Avogadro,easy,,Was Lorenzo Romano Amedeo Carlo Avogadro an Italian savant?
,S08_set4_a8,Amedeo_Avogadro,,,Was Lorenzo Romano Amedeo Carlo Avogadro an Italian savant?
,S08_set4_a8,Amedeo_Avogadro,,,Was Lorenzo Romano Amedeo Carlo Avogadro an Italian savant?
yes,S08_set4_a8,Amedeo_Avogadro,easy,,"Was Amedeo Avogadro born in Turin August 9th 1776 to a noble ancient family of Piedmont, Italy?"
,S08_set4_a8,Amedeo_Avogadro,,,"Was Amedeo Avogadro born in Turin August 9th 1776 to a noble ancient family of Piedmont, Italy?"
,S08_set4_a8,Amedeo_Avogadro,,,"Was Amedeo Avogadro born in Turin August 9th 1776 to a noble ancient family of Piedmont, Italy?"
yes,S08_set4_a8,Amedeo_Avogadro,easy,,Is he most noted for his contributions to the theory of molarity and molecular weight?
,S08_set4_a8,Amedeo_Avogadro,,,Is he most noted for his contributions to the theory of molarity and molecular weight?
,S08_set4_a8,Amedeo_Avogadro,,,Is he most noted for his contributions to the theory of molarity and molecular weight?
,S08_set4_a8,Amedeo_Avogadro,,,
,S08_set4_a8,Amedeo_Avogadro,,,
,S08_set4_a8,Amedeo_Avogadro,,,
,S08_set4_a8,Amedeo_Avogadro,,,
,S08_set4_a8,Amedeo_Avogadro,,,
,S08_set4_a8,Amedeo_Avogadro,,,
,S08_set4_a8,Amedeo_Avogadro,,,"Who confirm that he sponsored and helped some Sardinian plotters who were organising a revolution in that island , stopped at the very last moment by the concession of Charles Albert 's statute ?"
,S08_set4_a8,Amedeo_Avogadro,,,"Who confirm that he sponsored and helped some Sardinian plotters who were organising a revolution in that island , stopped at the very last moment by the concession of Charles Albert 's statute ?"
,S08_set4_a8,Amedeo_Avogadro,,,He is what?
,S08_set4_a8,Amedeo_Avogadro,,,He is what?
,S08_set4_a8,Amedeo_Avogadro,,,The unification of Italy did what?
yes,S08_set4_a8,Amedeo_Avogadro,easy,,Was King Victor Emmanuel III there to pay homage to Avogadro ?
,S08_set4_a8,Amedeo_Avogadro,,,Was King Victor Emmanuel III there to pay homage to Avogadro ?
,S08_set4_a8,Amedeo_Avogadro,,,Was King Victor Emmanuel III there to pay homage to Avogadro ?
yes,S08_set4_a8,Amedeo_Avogadro,easy,,Is Avogadro 's number commonly used to compute the results of chemical reactions ?
,S08_set4_a8,Amedeo_Avogadro,,,Is Avogadro 's number commonly used to compute the results of chemical reactions ?
,S08_set4_a8,Amedeo_Avogadro,,,Is Avogadro 's number commonly used to compute the results of chemical reactions ?
,S08_set4_a8,Amedeo_Avogadro,,,Is it approximately 6.0221415 10 23 ?
,S08_set4_a8,Amedeo_Avogadro,,,Is it approximately 6.0221415 10 23 ?
yes,S08_set4_a8,Amedeo_Avogadro,easy,,Did the scientific community not reserve great attention to his theory ?
,S08_set4_a8,Amedeo_Avogadro,,,Did the scientific community not reserve great attention to his theory ?
,S08_set4_a8,Amedeo_Avogadro,,,Did the scientific community not reserve great attention to his theory ?
,S08_set4_a8,Amedeo_Avogadro,,,Does it not allow chemists to determine the exact amounts of substances produced in a given reaction ?
,S08_set4_a8,Amedeo_Avogadro,,,Does it not allow chemists to determine the exact amounts of substances produced in a given reaction ?
yes,S08_set4_a8,Amedeo_Avogadro,easy,,Was King Victor Emmanuel III there to pay homage to Avogadro ?
,S08_set4_a8,Amedeo_Avogadro,,,Was King Victor Emmanuel III there to pay homage to Avogadro ?
,S08_set4_a8,Amedeo_Avogadro,,,Was King Victor Emmanuel III there to pay homage to Avogadro ?
yes,S08_set4_a8,Amedeo_Avogadro,easy,,Can the title of this famous 1811 paper be roughly translated into english?
,S08_set4_a8,Amedeo_Avogadro,,,Can the title of this famous 1811 paper be roughly translated into english?
,S08_set4_a8,Amedeo_Avogadro,,,Can the title of this famous 1811 paper be roughly translated into english?
,S08_set4_a8,Amedeo_Avogadro,,,What happened in french?
,S08_set4_a8,Amedeo_Avogadro,hard,,What happened in french?
Avogadro had been recalled to Turin university,S08_set4_a8,Amedeo_Avogadro,medium,,What happened in 1833?
,S08_set4_a8,Amedeo_Avogadro,,,What happened in 1833?
blah blah blah,S08_set4_a8,Amedeo_Avogadro,hard,,What happened in 1833?
Anders Celsius,S08_set4_a5,Anders_Celsius,medium,,Who determined the dependence of the boiling of water with atmospheric pressure?
The Celsius crater on the Moon,S08_set4_a5,Anders_Celsius,medium,,What is named after him?
1733,S08_set4_a5,Anders_Celsius,easy,,When did he publish a collection?
No,S08_set4_a5,Anders_Celsius,easy,,Is it true that he published a collection in 1738?
Yes,S08_set4_a5,Anders_Celsius,easy,,Is it true that thermometer had 100 for the freezing point?
Yes,S08_set4_a5,Anders_Celsius,easy,,Was Celsius born in Uppsala in Sweden?
Yes,S08_set4_a5,Anders_Celsius,easy,,"Was Anders Celsius (November 27, 1701 April 25, 1744) a Swedish astronomer?"
Yes,S08_set4_a5,Anders_Celsius,easy,,Is The Celsius crater on the Moon named after him?
Anders Celsius,S08_set4_a5,Anders_Celsius,medium,,Who was the first to perform and publish careful experiments aiming at the definition of an international temperature scale on scientific grounds ?
named after him,S08_set4_a5,Anders_Celsius,medium,,The Celsius crater on the Moon is what?
Yes,S08_set4_a5,Anders_Celsius,easy,,Is the Celsius crater on the Moon named after him ?
Yes it had,S08_set4_a5,Anders_Celsius,easy,,Had his thermometer 100 for the freezing point of water and 0 for the boiling point ?
Yes,S08_set4_a5,Anders_Celsius,easy,,Was Celsius born in Uppsala in Sweden ?
Yes,S08_set4_a5,Anders_Celsius,easy,,Is the Celsius crater on the Moon named after him ?
Yes he did,S08_set4_a5,Anders_Celsius,easy,,Did he not determine the dependence of the boiling of water with atmospheric pressure -LRB- in excellent agreement with modern data -RRB- ?
He was professor of astronomy at Uppsala University,S08_set4_a5,Anders_Celsius,easy,,What happened from 1730 to 1744?
The scale was reversed,S08_set4_a5,Anders_Celsius,medium,,What happened in 1745?
Yes,S08_set1_a8,beetle,easy,easy,Are beetles insects?
Yes,S08_set1_a8,beetle,easy,easy,Are beetles insects?
No,S08_set1_a8,beetle,hard,easy,Can beetles be found in polar regions?
No,S08_set1_a8,beetle,easy,easy,Can beetles be found in polar regions?
Yes,S08_set1_a8,beetle,easy,easy,Do beetles antennae function primarily as organs of smell?
Yes,S08_set1_a8,beetle,easy,easy,Do beetles antennae function primarily as organs of smell?
"the head, the thorax, and the abdomen",S08_set1_a8,beetle,medium,medium,What are the three sections of a beetle?
"The head, the thorax, and the abdomen",S08_set1_a8,beetle,medium,medium,What are the three sections of a beetle?
mimicry,S08_set1_a8,beetle,easy,medium,Which defense mechanism uses colour or shape to deceive potential enemies?
Mimicry,S08_set1_a8,beetle,medium,medium,Which defense mechanism uses colour or shape to deceive potential enemies?
Colorado potato beetle,S08_set1_a8,beetle,easy,medium,Which type of beetle is a pest of potato plants?
Colorado potato beetle,S08_set1_a8,beetle,medium,medium,Which type of beetle is a pest of potato plants?
"their hardened, often darkened head, the presence of chewing mouthparts, and spiracles along the sides of the body",S08_set1_a8,beetle,medium,hard,How can beetle larvae be differentiated from other insect larvae?
"By their hardened, often darkened head, the presence of chewing mouthparts, and spiracles along the sides of the body",S08_set1_a8,beetle,medium,hard,How can beetle larvae be differentiated from other insect larvae?
"Some are generalists, eating both plants and animals. Other beetles are highly specialised in their diet.",S08_set1_a8,beetle,hard,hard,What do beetles eat?
"They often feed on plants and fungi, break down animal and plant debris, and eat other invertebrates",S08_set1_a8,beetle,hard,hard,What do beetles eat?
mouthparts,S08_set1_a8,beetle,medium,hard,What are the similarities between beetles and grasshoppers?
Beetles have mouthparts similar to those of grasshoppers,S08_set1_a8,beetle,hard,hard,What are the similarities between beetles and grasshoppers?
Yes,S08_set1_a8,beetle,easy,easy,Are certain species of beetles considered pests?
yes,S08_set1_a8,beetle,easy,easy,Are certain species of beetles considered pests?
Yes,S08_set1_a8,beetle,medium,easy,Is a beetle's general anatomy uniform?
yes,S08_set1_a8,beetle,easy,easy,Is a beetle's general anatomy uniform?
yes,S08_set1_a8,beetle,easy,easy,Are beetles endopterygotes?
yes,S08_set1_a8,beetle,easy,easy,Are beetles endopterygotes?
"350,000",S08_set1_a8,beetle,medium,medium,How many species of beetles are there?
"about 350,000",S08_set1_a8,beetle,medium,medium,How many species of beetles are there?
during pairing,S08_set1_a8,beetle,hard,medium,When are sperm cells transferred to the female?
During pairing,S08_set1_a8,beetle,medium,medium,When are sperm cells transferred to the female?
coleopterology,S08_set1_a8,beetle,medium,medium,What is the study of beetles called?
coleopterology,S08_set1_a8,beetle,medium,medium,What is the study of beetles called?
yes,S08_set1_a8,beetle,hard,hard,"Is it possible that there are more than 350,000 species of beetles?"
yes,S08_set1_a8,beetle,hard,hard,"Is it possible that there are more than 350,000 species of beetles?"
no,S08_set1_a8,beetle,hard,hard,Is the Adephaga suborder larger than the Polyphaga suborder?
yes,S08_set1_a8,beetle,hard,hard,Is the Adephaga suborder larger than the Polyphaga suborder?
no,S08_set1_a8,beetle,medium,hard,Do carrion beetles eat dung?
no,S08_set1_a8,beetle,hard,hard,Do carrion beetles eat dung?
Beetles.,S08_set1_a8,beetle,easy,,What are prey of various animals including birds and mammals?
"The name ""Coleoptera"".",S08_set1_a8,beetle,easy,,What was given by Aristotle for the hardened shield like forewings?
Antennae.,S08_set1_a8,beetle,easy,,Who or what vary greatly in form within the coleoptera?
Yes.,S08_set1_a8,beetle,easy,,Are many beetles territorial?
Yes.,S08_set1_a8,beetle,easy,,Are beetles endopterygotes with complete metamorphosis?
One kind of gas obtained via a tracheal system.,S08_set1_a8,beetle,too hard,,Oxygen is what?
Yes.,S08_set1_a8,beetle,easy,,Is there a thriving industry in the collection of beetle specimens for amateur and professional collectors ?
Yes.,S08_set1_a8,beetle,easy,,Have coleopterists formed organisations to facilitate the study of beetles ?
Yes.,S08_set1_a8,beetle,medium,,"Is the study of beetles called coleopterology , and its practitioners are coleopterists ?"
Yes.,S08_set1_a8,beetle,easy,,May a single female lay from several dozen to several thousand eggs during her lifetime ?
Yes.,S08_set1_a8,beetle,easy,,Can beetles be found in almost all habitats?
They are food to beetles.,S08_set1_a8,beetle,hard,,What happened on plants and fungi?
no,S08_set3_a9,Calvin_Coolidge,easy,easy,Was Calvin Coolidge the twenty-ninth vice president?
Yes,S08_set3_a9,Calvin_Coolidge,easy,easy,Was Calvin Coolidge the twenty-ninth vice president?
yes,S08_set3_a9,Calvin_Coolidge,easy,easy,"Was Calvin Coolidge born in Plymouth, Windsor County, Vermont?"
Yes,S08_set3_a9,Calvin_Coolidge,easy,easy,"Was Calvin Coolidge born in Plymouth, Windsor County, Vermont?"
yes,S08_set3_a9,Calvin_Coolidge,easy,easy,Did Coolidge graduate from Black River Academy?
Yes,S08_set3_a9,Calvin_Coolidge,easy,easy,Did Coolidge graduate from Black River Academy?
upon graduating from college,S08_set3_a9,Calvin_Coolidge,medium,medium,When did he drop John from his name?
Upon graduating from college,S08_set3_a9,Calvin_Coolidge,medium,medium,When did he drop John from his name?
1905,S08_set3_a9,Calvin_Coolidge,medium,medium,When did Coolidge meet and marry Grace Anna Goodhue?
In 1905,S08_set3_a9,Calvin_Coolidge,medium,medium,When did Coolidge meet and marry Grace Anna Goodhue?
the Roaring Twenties,S08_set3_a9,Calvin_Coolidge,medium,medium,What period of rapid economic growth did the United States experience during Coolidge's presidency?
"the ""Roaring Twenties""",S08_set3_a9,Calvin_Coolidge,medium,medium,What period of rapid economic growth did the United States experience during Coolidge's presidency?
"Coolidge moved to Northampton, MassachuS08_setts",S08_set3_a9,Calvin_Coolidge,medium,hard,What did Coolidge do after graduating from Amherst?
"Coolidge moved to Northampton, MassachuS08_setts to take up the practice of law",S08_set3_a9,Calvin_Coolidge,medium,hard,What did Coolidge do after graduating from Amherst?
MassachuS08_setts,S08_set3_a9,Calvin_Coolidge,medium,hard,Of what state was Coolidge governor?
Coolidge,S08_set3_a9,Calvin_Coolidge,medium,hard,Who appointed Harlan Fiske Stone to the Supreme Court?
Coolidge,S08_set3_a9,Calvin_Coolidge,hard,hard,Who appointed Harlan Fiske Stone to the Supreme Court?
No,S08_set3_a9,Calvin_Coolidge,easy,easy,Was Coolidge the thirteenth President of the United States?
Yes,S08_set3_a9,Calvin_Coolidge,easy,easy,Was Coolidge the thirteenth President of the United States?
Yes,S08_set3_a9,Calvin_Coolidge,easy,easy,Was Calvin Coolidge Republican?
Yes,S08_set3_a9,Calvin_Coolidge,easy,easy,Was Calvin Coolidge Republican?
Yes,S08_set3_a9,Calvin_Coolidge,medium,easy,Was Calvin Coolidge a governor of MassachuS08_setts?
Yes,S08_set3_a9,Calvin_Coolidge,medium,easy,Was Calvin Coolidge a governor of MassachuS08_setts?
July 4 1872,S08_set3_a9,Calvin_Coolidge,medium,medium,When was Coolidge born?
"Plymouth, Windsor County, Vermont",S08_set3_a9,Calvin_Coolidge,easy,medium,When was Coolidge born?
Plymouth,S08_set3_a9,Calvin_Coolidge,medium,medium,Where did Coolidge's grandfather had government offices?
The town of Plymouth Notch,S08_set3_a9,Calvin_Coolidge,hard,medium,Where did Coolidge's grandfather had government offices?
"Plymouth, Windsor County, Vermont",S08_set3_a9,Calvin_Coolidge,medium,medium,Which state were Coolidge born in?
Vermont,S08_set3_a9,Calvin_Coolidge,medium,medium,Which state were Coolidge born in?
No,S08_set3_a9,Calvin_Coolidge,hard,hard,Is Calvin Jr. older than John Coolidge?
No,S08_set3_a9,Calvin_Coolidge,hard,hard,Is Calvin Jr. older than John Coolidge?
Yes,S08_set3_a9,Calvin_Coolidge,medium,hard,Did Coolidge get in Amherst College?
Yes,S08_set3_a9,Calvin_Coolidge,hard,hard,Did Coolidge get in Amherst College?
heart attack,S08_set3_a9,Calvin_Coolidge,hard,hard,What caused Calvin Jr.'s death?
Heart attack,S08_set3_a9,Calvin_Coolidge,easy,hard,What caused Calvin Jr.'s death?
No,S08_set3_a9,Calvin_Coolidge,easy,easy,Was John Calvin Coolidge Jr. was born in Las Vegas?
no,S08_set3_a9,Calvin_Coolidge,easy,easy,Was John Calvin Coolidge Jr. was born in Las Vegas?
Yes,S08_set3_a9,Calvin_Coolidge,medium,easy,Was Coolidge opposed in the Republican nomination for Governor of MassachuS08_setts in 1918?
no,S08_set3_a9,Calvin_Coolidge,hard,easy,Was Coolidge opposed in the Republican nomination for Governor of MassachuS08_setts in 1918?
Yes,S08_set3_a9,Calvin_Coolidge,easy,easy,Did Coolidge meet and marry Grace Anna Goodhue?
yes,S08_set3_a9,Calvin_Coolidge,easy,easy,Did Coolidge meet and marry Grace Anna Goodhue?
1898,S08_set3_a9,Calvin_Coolidge,medium,medium,What year did Coolidge open his own law office?
1898,S08_set3_a9,Calvin_Coolidge,easy,medium,What year did Coolidge open his own law office?
Phi Gamma Delta,S08_set3_a9,Calvin_Coolidge,medium,medium,What fraternity was Coolidge a member of?
phi gamma delta,S08_set3_a9,Calvin_Coolidge,medium,medium,What fraternity was Coolidge a member of?
Grace Anna Goodhue,S08_set3_a9,Calvin_Coolidge,medium,medium,In 1905 Coolidge met and married whom?
Grace Anna Goodhue,S08_set3_a9,Calvin_Coolidge,medium,medium,In 1905 Coolidge met and married whom?
It was too expensive,S08_set3_a9,Calvin_Coolidge,hard,hard,Why did Coolidge not attend law school?
cost,S08_set3_a9,Calvin_Coolidge,too hard,hard,Why did Coolidge not attend law school?
No,S08_set3_a9,Calvin_Coolidge,medium,hard,Have there been other US presidents that have visited Cuba?
no,S08_set3_a9,Calvin_Coolidge,medium,hard,Have there been other US presidents that have visited Cuba?
1906 and 1908,S08_set3_a9,Calvin_Coolidge,medium,hard,What years were Coolidge's two sons born in?
1906 and 1908,S08_set3_a9,Calvin_Coolidge,medium,hard,What years were Coolidge's two sons born in?
,S08_set3_a9,Calvin_Coolidge,,,What thrust him into the national spotlight?
,S08_set3_a9,Calvin_Coolidge,,,What to be born on the fourth of July?
,S08_set3_a9,Calvin_Coolidge,,,Who was the elder of two children of John Calvin Sr and Victoria Coolidge?
,S08_set3_a9,Calvin_Coolidge,,,Who or what placed as high as sixth in the voting?
,S08_set3_a9,Calvin_Coolidge,,,Is it true that he appointed stone to the supreme court?
,S08_set3_a9,Calvin_Coolidge,,,What do well - received and he have in common?
,S08_set3_a9,Calvin_Coolidge,,,What did Coolidge address in 1924?
,S08_set3_a9,Calvin_Coolidge,,,Was Coolidge more outspoken?
,S08_set3_a9,Calvin_Coolidge,,,Was Coolidge admitted to the bar?
,S08_set3_a9,Calvin_Coolidge,,,What emigrated from Cambridge?
,S08_set3_a9,Calvin_Coolidge,,,What graduated from Black?
,S08_set3_a9,Calvin_Coolidge,,,What Retrieved on May?
,S08_set3_a9,Calvin_Coolidge,,,He later what?
,S08_set3_a9,Calvin_Coolidge,,,They were what?
,S08_set3_a9,Calvin_Coolidge,,,The Republicans retained what?
,S08_set3_a9,Calvin_Coolidge,,,"(NNP Harding #)(NNP Death )))(PP (IN in )(NP (NP (NN office ))(PP (IN for )(NP (DT a )(JJ full )(NN description )(NNP Vice )(NNP President )(person (NNP Coolidge ))))))))(VP (VP (VBD was )(VP (VBG visiting )(NP (PRP$ his )(NN family )(NN home ))))(, , )(SBAR (WHNP (WDT which ))(S (VP (VBD did )(RB not )(VP (VB have )(NP (NP (NN electricity ))(CC or )(NP (DT a )(NN telephone )))(, , )(PP (IN in )(NP (location (NNP Vermont ))))(SBAR (WHADVP (WRB when ))(S (NP (PRP he ))(VP (VBD received )(NP (NP (NN word ))(PP (IN of )(NP (NP (NNP Harding )(POS 's ))(NN death ))))))))))))))(. . )))"
,S08_set3_a9,Calvin_Coolidge,,,
,S08_set3_a9,Calvin_Coolidge,,,
,S08_set3_a9,Calvin_Coolidge,,,Was 364 Stone later appointed Chief Justice by President Franklin D. Roosevelt ?
,S08_set3_a9,Calvin_Coolidge,,,"Did Coolidge not publish his autobiography in 1929 and write a syndicated newspaper column , `` Calvin Coolidge Says , '' from 1930 -- 1931 ?"
,S08_set3_a9,Calvin_Coolidge,,,"Were the more well-known Coolidges , such as architect Charles Allerton Coolidge , and diplomat Archibald Cary Coolidge , descended from other branches of the family that had stayed in MassachuS08_setts ?"
,S08_set3_a9,Calvin_Coolidge,,,Is the genius of the average the most convincing proof of $ his strength?
,S08_set3_a9,Calvin_Coolidge,,,What happened from tuberculosis?
,S08_set3_a9,Calvin_Coolidge,,,"What happened from black river academy , vermont?"
Yes.,S08_set2_a8,Canada,easy,easy,Did France cede nearly all of its colonies in Europe in 1763?
yes,S08_set2_a8,Canada,easy,easy,Did France cede nearly all of its colonies in Europe in 1763?
,S08_set2_a8,Canada,,easy,Did France cede nearly all of its colonies in Europe in 1763?
Yes.,S08_set2_a8,Canada,easy,easy,Is Canada a member of the OECD?
yes,S08_set2_a8,Canada,easy,easy,Is Canada a member of the OECD?
,S08_set2_a8,Canada,,easy,Is Canada a member of the OECD?
No.,S08_set2_a8,Canada,easy,easy,Is Canada's official language Zulu?
